// Start Time: 0
// Sample rate: 100.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0314,FFFFFE61,0707,FFFFFFF3,FFFFFFDC,0006,FFFFFF1A,0082,FFFFFFC4 
0312,FFFFFE64,0706,FFFFFFF1,FFFFFFE6,0008,FFFFFF27,007F,FFFFFFC3 
02FD,FFFFFE97,06FA,FFFFFFF0,FFFFFFEA,000E,FFFFFF25,0085,FFFFFFC5 
0336,FFFFFECB,06F2,0009,FFFFFFE9,0032,FFFFFF18,0086,FFFFFFCE 
039D,FFFFFF1A,070F,0030,FFFFFFE6,0059,FFFFFF22,0080,FFFFFFC8 
0321,FFFFFF2A,074E,0090,FFFFFFDF,0088,FFFFFF18,0084,FFFFFFC2 
02DE,FFFFFF1F,075B,00D5,FFFFFFAA,0112,FFFFFF24,0080,FFFFFFC2 
034B,FFFFFECE,074C,00AC,FFFFFF3D,0190,FFFFFF1D,007D,FFFFFFC1 
0376,FFFFFE77,0721,0090,FFFFFEE3,0198,FFFFFF24,007C,FFFFFFBC 
0309,FFFFFDFF,06F2,0066,FFFFFEC2,0164,FFFFFF22,0076,FFFFFFC6 
02AD,FFFFFD9A,06ED,0069,FFFFFEE1,012C,FFFFFF1F,0079,FFFFFFC1 
01CE,FFFFFD42,072A,007B,FFFFFEF2,0113,FFFFFF1F,007D,FFFFFFC1 
0294,FFFFFDAA,073D,0040,FFFFFEDD,0124,FFFFFF1B,0073,FFFFFFC3 
02D2,FFFFFE0D,06FF,004B,FFFFFED9,0103,FFFFFF26,0074,FFFFFFC8 
0302,FFFFFE5C,06FF,00B7,FFFFFF1A,00D6,FFFFFF1C,0074,FFFFFFC2 
02CA,FFFFFE5E,06F1,00C4,FFFFFF49,00BB,FFFFFF1C,0074,FFFFFFB4 
02F6,FFFFFE49,06FC,0064,FFFFFF48,00C5,FFFFFF24,006C,FFFFFFC2 
03DC,FFFFFE4E,0708,00D0,FFFFFF4D,008A,FFFFFF21,006F,FFFFFFCB 
03A4,FFFFFE40,0736,00CD,FFFFFF0A,003D,FFFFFF1C,0070,FFFFFFCA 
0347,FFFFFD9C,06C2,009B,FFFFFED3,FFFFFFED,FFFFFF1C,0070,FFFFFFC6 
030B,FFFFFDB6,06C9,FFFFFFEC,FFFFFEC8,FFFFFFAF,FFFFFF15,0075,FFFFFFCB 
0356,FFFFFE4C,06E3,FFFFFFA9,FFFFFEAF,FFFFFF6E,FFFFFF1B,0073,FFFFFFC5 
03DF,FFFFFEB4,0709,FFFFFF59,FFFFFEA4,FFFFFF85,FFFFFF1B,0071,FFFFFFCD 
03E5,FFFFFE4F,06EA,FFFFFEFB,FFFFFEC4,FFFFFF92,FFFFFF1E,0074,FFFFFFC6 
03BA,FFFFFE27,06D1,FFFFFE7D,FFFFFEEE,FFFFFF71,FFFFFF25,006F,FFFFFFC9 
038F,FFFFFE3E,06D2,FFFFFE3D,FFFFFF00,FFFFFF1E,FFFFFF22,0072,FFFFFFC4 
03B9,FFFFFE7F,06A1,FFFFFE63,FFFFFF35,FFFFFED5,FFFFFF1F,0073,FFFFFFCF 
03AE,FFFFFED5,06A2,FFFFFE9D,FFFFFF77,FFFFFEC1,FFFFFF20,0074,FFFFFFCC 
0395,FFFFFEF1,06AB,FFFFFEDC,FFFFFF99,FFFFFED5,FFFFFF27,0077,FFFFFFC9 
036F,FFFFFEF8,06AE,FFFFFEFF,FFFFFFB6,FFFFFF20,FFFFFF29,007B,FFFFFFCD 
037B,FFFFFEEA,06B8,FFFFFF35,FFFFFFB8,FFFFFF6E,FFFFFF2A,0078,FFFFFFD2 
037B,FFFFFEC3,06DC,FFFFFF85,FFFFFFB1,FFFFFFA8,FFFFFF24,007C,FFFFFFD2 
